project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
exif_v0.6.22,LLAMA,ctx-2,"FR, VI",25.208205549308396,16.909909117030814,8.298296432277581,8
exif_v0.6.22,LLAMA,ctx-2,"DE, ES",24.80858829887258,16.909909117030814,7.898679181841764,9
exif_v0.6.22,LLAMA,ctx-2,"VI, ZH_CN",24.779777648372104,16.909909117030814,7.8698685313412895,10
exif_v0.6.22,LLAMA,ctx-2,"FR, ID",24.61660805219536,16.909909117030814,7.706698935164546,11
exif_v0.6.22,LLAMA,ctx-2,"DE, ID",23.827461094190976,16.909909117030814,6.917551977160162,12
exif_v0.6.22,LLAMA,ctx-2,"ES, VI",23.813407994920507,16.909909117030814,6.903498877889692,13
exif_v0.6.22,LLAMA,ctx-2,"DE, RU",23.780875434116876,16.909909117030814,6.8709663170860615,14
exif_v0.6.22,LLAMA,ctx-2,"DE, ZH_CN",23.23418580385545,16.909909117030814,6.324276686824636,15
exif_v0.6.22,LLAMA,ctx-2,"RU, ZH_CN",22.799878868381793,16.909909117030814,5.8899697513509786,16
exif_v0.6.22,LLAMA,ctx-2,"DE, VI",22.625502551830937,16.909909117030814,5.715593434800123,17
exif_v0.6.22,LLAMA,ctx-2,"RU, VI",19.60509787436571,16.909909117030814,2.695188757334897,18
exif_v0.6.22,LLAMA,ctx-2,"ID, VI",18.75931072830615,16.909909117030814,1.8494016112753364,19
exif_v0.6.22,LLAMA,ctx-2,"ID, ZH_CN",18.208825279417557,16.909909117030814,1.2989161623867425,20
exif_v0.6.22,LLAMA,ctx-2,"ID, RU",16.689986033400018,16.909909117030814,-0.21992308363079616,21
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, VI",45.176036501783514,35.08725840716348,10.088778094620032,1
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, FR",42.700740446116,35.08725840716348,7.613482038952519,2
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, ES",41.00055311487098,35.08725840716348,5.9132947077075,3
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"FR, ID",40.15340259750684,35.08725840716348,5.066144190343358,4
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ES, VI",39.631264084840986,35.08725840716348,4.544005677677504,5
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"RU, ZH_CN",39.49843226707129,35.08725840716348,4.411173859907805,6
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, RU",38.91991052200552,35.08725840716348,3.832652114842041,7
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ES, ZH_CN",38.37648647643675,35.08725840716348,3.289228069273271,8
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"FR, RU",38.02167862561421,35.08725840716348,2.9344202184507253,9
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, ZH_CN",37.36098209278574,35.08725840716348,2.273723685622258,10
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ES, RU",37.01596023228058,35.08725840716348,1.9287018251170949,11
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ES, ID",37.01382833090856,35.08725840716348,1.9265699237450775,12
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ES, FR",36.39071222158434,35.08725840716348,1.3034538144208554,13
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"FR, ZH_CN",36.08195321141545,35.08725840716348,0.9946948042519708,14
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"RU, VI",35.131443963644436,35.08725840716348,0.04418555648095435,15
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ID, RU",34.38793356624062,35.08725840716348,-0.6993248409228627,16
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"FR, VI",34.04300607906503,35.08725840716348,-1.0442523280984517,17
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"DE, ID",33.69043240572235,35.08725840716348,-1.3968260014411342,18
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ID, VI",33.26616851015239,35.08725840716348,-1.8210898970110918,19
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"ID, ZH_CN",31.578751392750465,35.08725840716348,-3.5085070144130164,20
gst-plugins-bad_v1.27.90,LLAMA,ctx-2,"VI, ZH_CN",30.52402231166786,35.08725840716348,-4.563236095495622,21
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, ES",38.653694101995896,26.73616106438515,11.917533037610745,1
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ES, FR",37.23211973758047,26.73616106438515,10.495958673195318,2
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, ZH_CN",34.42636326686761,26.73616106438515,7.69020220248246,3
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ES, RU",33.741103734518006,26.73616106438515,7.004942670132856,4
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"FR, ZH_CN",33.430280421039846,26.73616106438515,6.694119356654696,5
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ES, ID",33.22524486249476,26.73616106438515,6.489083798109611,6
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, FR",32.78772773638185,26.73616106438515,6.051566671996696,7
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"ES, ZH_CN",31.50017639582095,26.73616106438515,4.7640153314358,8
gst-plugins-ugly_v1.27.90,LLAMA,ctx-2,"DE, RU",31.104284533431972,26.73616106438515,4.368123469046822,9
